 rec_name,rec_instructions,cooking_time,serving_pax,cuisine,rec_type,ingredients,quantity,rec_photo
Salt and Pepper Chicken  ,"Season chicken with salt and pepper (no such thing as too much, since this is the only seasoning this dish has)!
Heat oil in a medium skillet over medium high heat and add chicken. Saute until browned, about 5 minutes each side, then add milk (enough to cover 3/4 of the chicken).
Reduce heat to low and simmer for 2 hours, uncovered. Remove chicken and use juices in skillet as a sauce.",130,,,,"Vegetable Oil,Chicken,Salt,Black Pepper,Milk",,https://images.media-allrecipes.com/userphotos/560x315/2740234.jpg
Peach Pie  ,"Mix flour, sugar and butter into crumb stage.
Place one crust in the bottom of a 9 inch pie plate.  Line the shell with some sliced peaches.  Sprinkle some of the butter mixture on top of the peaches, then put more peaches on top of the the crumb mixture.  Continue layering until both the peaches and crumbs are gone.
Top with lattice strips of pie crust.
Bake at 350 degrees F (175 degrees C) for 45 minutes, or until crust is golden.  Allow pie to cool before slicing.  Best when eaten fresh.",105,,,,"Peach,Flour,White Sugar,Butter,Pastry",,https://images.media-allrecipes.com/userphotos/560x315/697544.jpg
Cranberry Walnut Bread  ,"Preheat oven to 350 degrees F (175 degrees C). Grease three 8x4-inch loaf pans. Line bottoms with parchment paper, if desired.
Beat the butter and sugar with an electric mixer in a large bowl until light and fluffy. Add the room-temperature eggs one at a time, allowing each egg to blend into the butter mixture before adding the next. Stir in the orange zest.
Sift together the flour, salt, baking powder and baking soda. Add to the egg mixture, alternating with orange juice.
Coarsely chop the cranberries.
Pour the flour mixture into the mixing bowl alternately with the orange juice, mixing until just incorporated. Fold in the chopped cranberries and walnuts, mixing just enough to evenly combine. Divide the batter evenly among prepared pans.
Bake in the preheated oven for 30 minutes. Check for browning: cover the tops with aluminum foil to prevent them from becoming too dark. Bake until a toothpick inserted in the center of the loaves comes out clean, about 30 minutes more. Cool on wire racks.",100,,,,"Butter,White Sugar,Egg,Orange,Flour,Salt,Baking Powder,Baking Soda,Orange Juice,Cranberry,Walnut",,https://images.media-allrecipes.com/userphotos/250x250/35040.jpg
Bacon Wrapped Mushrooms  ,"Preheat oven to 400 degrees F (200 degrees C).
Wrap each mushroom with a strip of bacon, and secure with a toothpick. Arrange the mushrooms on a medium baking sheet.
Bake approximately 15 minutes in the preheated oven, until the bacon is evenly brown. Serve hot.",30,,,,"Bacon,Mushroom",,https://images.media-allrecipes.com/userphotos/250x250/795205.jpg
Squash and Apple Bake  ,"Preheat oven to 350 degrees F (175 degrees C).
In a medium bowl, stir together brown sugar, butter, flour, salt, and mace. Arrange squash in an ungreased 9x13 inch baking dish. Top with slices of apple, then sprinkle with the sugar mixture. Cover with a lid or aluminum foil.
Bake for 50 to 60 minutes in the preheated oven, or until squash is tender.",80,,,,"Brown Sugar,Butter,Flour,Salt,Mace,Butternut Squash,Apple",,https://images.media-allrecipes.com/userphotos/560x315/5851233.jpg
Orange Sherbet I  ,"Place cold water in a small bowl and sprinkle gelatin over the surface.  Allow to stand 5 minutes.
In a medium bowl, stir together boiling water,  3/4 cup sugar and soaked gelatin.  Stir until gelatin and sugar are dissolved.  Stir in orange zest, orange juice, lemon juice and egg yolk.  Set aside.
In a large bowl, whip cream with 3 tablespoons sugar and salt until stiff peaks form.  In a separate bowl, whip egg white until stiff.  Fold into whipped cream.  Stir in juice mixture a little at a time.  Pour into a shallow dish and place in freezer.  Freeze until firm, stirring twice during the first hour.",240,,,,"Water,Gelatin,Water,Sugar,Orange,Orange Juice,Lemon Juice,Egg,Cream,Sugar,Salt,Egg",,https://images.media-allrecipes.com/userphotos/250x250/191839.jpg
Artichoke Bruschetta  ,"Preheat the broiler.
In a medium bowl, mix marinated artichoke hearts, Romano cheese, red onion and mayonnaise. Top French baguette slices with equal amounts of the artichoke heart mixture. Arrange slices in a single layer on a large baking sheet.
Broil in the preheated oven 2 minutes, or until toppings are bubbly and lightly browned.",20,,,,"Artichoke,Cheese,Onion,Mayonnaise,Ice",,https://images.media-allrecipes.com/userphotos/560x315/257843.jpg
Tomato Bacon Squares  ,"Preheat oven 375 degrees F (190 degrees C).
Place bacon in a large skillet over medium heat. Fry bacon until crisp. Drain on paper towels.
Crumble bacon into a medium-size mixing bowl. Mix in bell pepper, tomatoes, and basil. In a separate small bowl, combine mayonnaise and garlic.
Roll pizza crust into a 12x15 inch rectangular baking sheet. Spread the mayonnaise mixture evenly over the crust. Sprinkle the bacon mixture over the mayonnaise, and top the entire pizza with cheese.
Bake 18 to 20 minutes or until the top is bubbly and the crust is golden brown. Cool and cut the pizza into 24 squares.",40,,,,"Bacon,Bell Pepper,Onion,Tomato,Basil,Mayonnaise,Garlic,Dough,Swiss Cheese",,https://images.media-allrecipes.com/userphotos/250x250/13703.jpg
Maple Roast Turkey  ,"Combine apple cider and maple syrup in a saucepan, and bring to a boil over medium-high heat. Continue cooking until reduced to 1/2 cup, then remove pan from heat. Stir in 1 tablespoon thyme, 1 tablespoon marjoram, and lemon zest. Stir in butter until melted, and season with salt and pepper. Cover, and refrigerate until cold.
Preheat oven to 375 degrees F (190 degrees C). Place rack in lower third of oven.
Place turkey on a rack set in a  roasting pan. Reserve 1/4 cup maple butter for gravy, and rub the remaining maple butter under the skin of the breast and over the outside of turkey. Arrange onion, celery, carrots turkey neck and giblets around the turkey. Sprinkle 1 tablespoon thyme and 1 tablespoon marjoram over vegetables. Pour 2 cups broth into pan.
Roast turkey for 30 minutes in the preheated oven. Reduce oven temperature to 350 degrees F (175 degrees C). Cover entire turkey loosely with foil. Continue roasting for about 2 1/2 hours, or until a meat thermometer inserted into thickest part of thigh registers 180 degrees F (85 degrees C). Transfer turkey to platter, and let stand 30 minutes.
Strain the pan juices into a large measuring cup, and then remove any excess fat.  Add enough chicken broth to pan juices to measure 3 cups. Transfer liquid to a saucepan, and bring to boil. In a small bowl, mix 1/4 cup maple butter and 1/3 cup flour until smooth. Whisk flour and butter mixture into broth mixture. Stir in remaining thyme and the bay leaf. Boil until reduced to sauce consistency, stirring occasionally, about 10 minutes. Mix in apple brandy, if desired. Season with salt and pepper to taste.
",390,,,,"Apple,Maple Syrup,Thyme,Marjoram,Lemon,Butter,Pepper,Turkey,Onion,Celery,Carrot,Chicken Broth,Flour,Bay Leaf,Brandy",,https://images.media-allrecipes.com/userphotos/560x315/4209891.jpg
Artichoke and Black Olive Baked Chicken  ,"Preheat oven to 350 degrees F (175 degrees C).
Place chicken breasts and drumsticks in a 9x13 inch baking dish, bone side down. Spread artichokes and olives around chicken, then mix wine and broth together in a small bowl and pour mixture all over chicken. Sprinkle with tarragon and season with salt and pepper to taste.
Bake at 350 degrees F (175 degrees C) for 1 hour, or until chicken is cooked through (juices run clear) and browned.",70,,,,"Chicken,Chicken,Artichoke,Olive,White Wine,Chicken Broth,Tarragon,Pepper",,https://images.media-allrecipes.com/userphotos/250x250/988364.jpg
Cheddar Quiche  ,"Preheat oven to 400 degrees F (200 degrees C). Lightly grease a 9 inch pie pan.
In a medium bowl, mix together the baking mix, 1/4 teaspoon salt, and pepper. Gradually mix in the milk until moistened. Knead a few times on a floured board. Roll dough out to a 12 inch circle, and press into the greased pie pan. Fold edges, and flute.
Place bacon and onion in a large, deep skillet over medium-high heat, and cook until bacon is evenly brown. Drain, and crumble bacon. Sprinkle bacon, onion, and Cheddar cheese into the pie pan.
In a medium bowl, beat eggs with 1 teaspoon salt and hot pepper sauce, then slowly stir in hot evaporated milk. Pour into the pie shell.
Bake 5 minutes in the preheated oven, then reduce heat to 350 degrees F (175 degrees C). Continue baking 25 minutes, or until center is almost set. Do not over bake - the quiche will set as it cools.",60,,,,"Baking Mix,Salt,Black Pepper,Milk,Bacon,Onion,Cheddar,Egg,Salt,Hot Pepper,Milk",,https://images.media-allrecipes.com/userphotos/560x315/3912777.jpg
Gazpacho  ,"In a blender or food processor, combine tomato juice, onion, bell pepper, cucumber, tomatoes, green onions, garlic, lemon juice, red wine vinegar, tarragon, basil, parsley, sugar, salt, and pepper. Blend until well-combined but still slightly chunky. Chill at least 2 hours before serving.",140,,,,"Tomato,Onion,Bell Pepper,Cucumber,Tomato,Green Onion,Garlic,Lemon Juice,Red Wine,Tarragon,Basil,Parsley,White Sugar,Pepper",,https://images.media-allrecipes.com/userphotos/560x315/4553206.jpg
Portuguese Sweet Bread I  ,"Add ingredients in order suggested by your manufacturer.
Select ""sweet bread"" setting.",185,,,,"Milk,Egg,Margarine,White Sugar,Salt,Bread,Yeast",,https://images.media-allrecipes.com/userphotos/560x315/2485663.jpg
Todd's Famous Blueberry Pancakes  ',"'In a large bowl, sift together flour, salt, baking powder and sugar. In a small bowl, beat together egg and milk. Stir milk and egg into flour mixture. Mix in the butter and fold in the blueberries. Set aside for 1 hour.",75,,,,"Flour,Salt,Baking Powder,White Sugar,Egg,Milk,Butter,Blueberry",,https://images.media-allrecipes.com/userphotos/560x315/686460.jpg
Pasta with Fresh Tomatoes and Corn  ,"In a large pot with boiling salted water cook pasta until al dente. Drain.
Meanwhile, in a large bowl whisk together the olive oil, red wine vinegar, and dried basil. Add salt and pepper to taste. Stir in the tomatoes, corn kernels, and scallions. Let sit for 5 to 10 minutes.
Toss pasta with tomato mixture. Sprinkle with grated parmesan cheese. Garnish with fresh basil, if desired.",30,,,,"Pasta,Olive,Red Wine,Corn,Tomato,Green Onion,Basil,Salt,Black Pepper,Parmesan,Basil",,https://images.media-allrecipes.com/userphotos/560x315/871791.jpg
Herman Biscuits  ,"Bring Herman Starter to room temperature.
Stir together flour, baking soda, baking powder and salt.
Stir flour mixture and oil into Herman Starter. It will form a soft dough.
On a lightly floured surface knead dough until smooth. Pinch off small pieces of dough and shape into balls OR roll dough out and cut with a biscuit cutter. Place biscuits onto a greased baking sheet, cover and let rise in a warm place for 1 hour.
Preheat oven to 350 degrees F (175 degrees C).
Bake in biscuits in the preheat oven for about 30 minutes or until golden. Serve warm.",120,,,,"Sourdough,Flour,Baking Soda,Baking Powder,Salt,Vegetable Oil",,https://images.media-allrecipes.com/userphotos/560x315/1105000.jpg
Grilled Chicken Salad with Seasonal Fruit  ,"Preheat the grill for high heat.
Lightly oil the grill grate. Grill chicken 8 minutes on each side, or until juices run clear. Remove from heat, cool, and slice.
Meanwhile, place pecans in a dry skillet over medium-high heat. Cook pecans until fragrant, stirring frequently, about 8 minutes. Remove from heat, and set aside.
In a blender, combine the red wine vinegar, sugar, vegetable oil, onion, mustard, salt, and pepper. Process until smooth.
Arrange lettuce on serving plates. Top with grilled chicken slices, strawberries, and pecans. Drizzle with the dressing to serve.",35,,,,"Chicken,Pecan,Red Wine,White Sugar,Vegetable Oil,Onion,Mustard,Salt,Pepper,Lettuce,Strawberry",,https://images.media-allrecipes.com/userphotos/560x315/3639764.jpg
Chocolate Chip Muffins I  ,"Preheat oven to 350 degrees F (175 degrees C). Lightly grease or line 12 muffin cups.
In a large mixing bowl, combine the flour, baking powder, sugar and salt. Stir in the milk, egg, butter and chocolate chips. Pour batter into prepared muffin cups or flat bottomed ice cream cones.
Bake in preheated oven for 15 to 20 minutes, until a toothpick inserted into the center of a muffin comes out clean.",30,,,,"Flour,Baking Powder,White Sugar,Salt,Milk,Egg,Butter,Chocolate",,https://images.media-allrecipes.com/userphotos/250x250/260791.jpg
Cheesy Ham and Hash Brown Casserole  ,"Preheat oven to 375 degrees F (190 degrees C). Lightly grease a 9x13 inch baking dish.
In a large bowl, mix hash browns, ham, cream of potato soup, sour cream, and Cheddar cheese. Spread evenly into prepared dish. Sprinkle with Parmesan cheese.
Bake 1 hour in the preheated oven, or until bubbly and lightly brown. Serve immediately.",75,,,,"Potato,Ham,Potato,Sour Cream,Cheddar,Parmesan",,https://images.media-allrecipes.com/userphotos/560x315/566024.jpg
"Summer Pasta with Basil, Tomatoes and Cheese  ","In a medium bowl, toss together tomatoes, garlic, basil, mint, salt and black pepper, hot pepper flakes, olive oil, and cream sherry.  Let stand at room temperature for up to 2 hours, stirring occasionally.
Cook the pasta In a large pot of boiling salted water until tender, but firm to the bite.
Drain the pasta, and transfer to a large serving bowl.  Drain 1/4 cup of the liquid from the tomato mixture, and toss with the pasta to coat.  Add cheese, and toss until it begins to melt.  Add the tomato mixture, and toss until mixed.",150,,,,"Tomato,Garlic,Basil,Mint,Salt,Black Pepper,Red Pepper,Olive,Sherry,Spaghetti,Cheese,Fontina",,https://images.media-allrecipes.com/userphotos/560x315/432654.jpg
Sourdough Bread III  ,"Mix all ingredients in a bread machine using the Manual cycle.  That''s usually two mix cycles of approximately 15 to 20 minutes with the rise cycle between them of about an hour.
Turn the dough out onto a lightly floured surface. Form the dough into a single round loaf. Place the loaf on a baking stone or baking sheet which has been lightly oiled and sprinkled with cornmeal. Cover loaf and let rise in a warm place until nearly doubled in size, about 40 minutes.
Preheat oven to 425 degrees F (220 degrees C).
Bake in preheated oven for 20 to 30 minutes, until golden brown and loaf sounds hollow when tapped. Let cool on a wire rack.",160,,,,"Yeast,Wheat Germ,Sugar,Salt,Bread,Sourdough,Margarine,Milk,Cornmeal",,https://images.media-allrecipes.com/userphotos/560x315/1009991.jpg
Boiled Raisin Cake I  ,"Boil raisins in 2 cups of water for 15 minutes.  Remove from heat.
Add vegetable oil and cold water to the raisins.
Mix sugar, flour, spices,  baking soda, and salt in a large bowl.
Add the raisin mixture, and stir till just mixed.
Pour into a greased and floured 9 x 13 inch baking pan, and bake for one hour in a preheated 350 degrees F (175 degrees C) oven. It is done if a toothpick comes out clean.",90,,,,"Raisin,Water,Vegetable Oil,Water,White Sugar,Flour,Cinnamon,Clove,Nutmeg,Baking Soda,Salt",,https://images.media-allrecipes.com/userphotos/250x250/16253.jpg
Chocolate Buzz Milkshake  ,"In a blender combine milk, ice cubes and espresso. Blend until smooth. Stop blender and scoop in the ice cream. Add the chocolate powder and a generous squeeze of chocolate syrup. Blend again until smooth. Pour into 2 tall glasses and serve immediately.",5,,,,"Milk,Ice,Coffee,Chocolate,Chocolate,Chocolate",,https://images.media-allrecipes.com/userphotos/250x250/666351.jpg
Easy Sausage Cheese Balls  ,"Preheat oven to 400 degrees F (200 degrees C).
In a medium bowl, combine the sausage, cheese, and dry baking mix. Mix together, and shape mixture into walnut-sized balls. Place on a foil-lined cookie sheet.
Bake for 12 to 15 minutes. Serve hot.",25,,,,"Sausage,Cheddar,Baking Mix",,https://images.media-allrecipes.com/userphotos/560x315/958961.jpg
Garlic Herbed Chicken  ,"Preheat an outdoor grill for high heat and lightly oil grate.
In a small bowl, whisk together garlic, dried tarragon, salt, ground black pepper and olive oil.
Place each chicken breast half on a piece of foil large enough to cover the chicken. Brush chicken with the garlic mixture.
Tightly seal chicken in the foil. Cook on the prepared grill approximately 40 minutes.
Remove from grill. Discard foil and juices. Place unwrapped chicken on the grill. Brushing frequently with remaining garlic mixture and turning often, continue cooking 5 to 10 minutes per side, or to desired doneness.",70,,,,"Garlic,Tarragon,Salt,Black Pepper,Olive,Chicken",,https://images.media-allrecipes.com/userphotos/560x315/410553.jpg
Kids Favorite Meatloaf  ,"In a large bowl, combine the ketchup, brown sugar and mustard and mix well. Remove 4 tablespoons of this mixture and reserve for later for the top of the loaves. To the mixture in the bowl, add the Worcestershire sauce, salt, onion, garlic, egg, milk and ground black pepper and mix together well.
Stir in the wheat cereal squares and let stand for 5 minutes. Then break up the cereal squares and add the ground beef, mixing well. Shape the mixture into the mini loaf pans you''ve decided to use.
Bake at 350 degrees F (175 degrees C) for 65 minutes. Brush on reserved ketchup mixture and bake for 15 more minutes.",100,,,,"Ketchup,Brown Sugar,Mustard,Worcestershire Sauce,Salt,Onion,Garlic,Egg,Milk,Black Pepper,Cereal,Ground Beef",,https://images.media-allrecipes.com/userphotos/560x315/702339.jpg
Pierogi Casserole  ,"Preheat oven to 350 degrees F (175 degrees C).
Place the potatoes in a large pot with water to cover over high heat. Bring to a boil and cook until the potatoes are tender. Remove from heat, drain, then combine with the milk and 6 tablespoons of butter, mash and set aside.
Melt the remaining 2 tablespoons of the butter in a large skillet over medium high heat. Saute the bacon, onion and garlic in the butter for 5 to 10 minutes, or until the bacon is fully cooked.
Cook the lasagna noodles according to package directions and cool under running water.
Place 1/2 of the mashed potatoes into the bottom of a 9x13 inch baking dish. Top this with 1/3 of the cheese, followed by a layer of lasagna noodles. Repeat this with the remaining potatoes, another 1/3 of the cheese and a layer of noodles. Then arrange the bacon, onion and garlic over the noodles, then another layer of noodles, and finally top all with the remaining cheese. Season with salt and pepper to taste.
Bake, uncovered, at 350 degrees F (175 degrees C) for 30 to 45 minutes, or until the cheese is melted and bubbly. Serve with sour cream and chopped fresh chives.
",90,,,,"Potato,Milk,Butter,Bacon,Onion,Garlic,Lasagna,Cheddar,Pepper,Sour Cream,Chive",,https://images.media-allrecipes.com/userphotos/560x315/749162.jpg
Mexican Baked Fish  ,"Preheat oven to 400 degrees F (200 degrees C). Lightly grease one 8x12 inch baking dish.
Rinse fish fillets under cold water, and pat dry with paper towels. Lay fillets side by side in the prepared baking dish. Pour the salsa over the top, and sprinkle evenly with the shredded cheese. Top with the crushed corn chips.
Bake, uncovered, in the preheated oven for 15 minutes, or until fish is opaque and flakes with a fork. Serve topped with sliced avocado and sour cream.
",30,,,,"Cod,Salsa,Cheddar,Corn,Avocado,Sour Cream",,https://images.media-allrecipes.com/userphotos/250x250/1014287.jpg
Vegetable Medley II  ,"Spray a large skillet with cooking spray and add tomatoes. Cook over medium heat for 5 minutes and add garlic pepper. Stir in mushrooms, squash, and zucchini. Simmer until vegetables are tender-crisp, 10 to 15 minutes.
",35,,,,"Cooking Spray,Tomato,Garlic,Mushroom,Yellow Squash,Zucchini",,https://images.media-allrecipes.com/userphotos/560x315/717953.jpg
Shrimp Dip I  ,"In a medium bowl, beat softened cream cheese and undiluted cream of shrimp soup together until fluffy. Stir in shrimp.
Microwave for about 2 minutes, or until warm.  Sprinkle chopped green onion on top.
",17,,,,"Shrimp,Cream Cheese,Shrimp,Green Onion",,https://images.media-allrecipes.com/userphotos/250x250/719589.jpg
Seafood Newburg  ,"Combine butter, flour and salt in a saucepan. Cook for two minutes. Slowly pour in milk and bring mixture to a boil.
Stir sherry into the mixture (to taste), paprika, catsup and Worcestershire sauce. Place seafood in the saucepan and heat thoroughly. Serve hot.
",15,,,,"Butter,Flour,Salt,Milk,Sherry,Paprika,Ketchup,Worcestershire Sauce,Shrimp",,https://images.media-allrecipes.com/userphotos/560x315/1022820.jpg
Favorite Green Bean Casserole  ,"Preheat oven to 350 degrees F (175 degrees C).
In a medium saucepan over medium heat, place the green beans in water, and bring to a boil. Cover, and cook 6 minutes, until tender. Remove from heat, and drain.
In an 8x8 inch baking dish, mix together the cream of mushroom soup, milk, pimentos, and pepper. Stir in the green beans. Sprinkle with French-fried onions.
Bake, uncovered, 30 to 40 minutes in the preheated oven,  until the casserole is hot and bubbly in the center.
",60,,,,"Green Bean,Water,Mushroom,Milk,Pimento,Black Pepper,Onion",,https://images.media-allrecipes.com/userphotos/560x315/25721.jpg
Melt in Your Mouth Mint Brownies  ,"Prepare brownie mix according to package directions. Spread into a 9x13 inch pan and bake as directed.
Unwrap mint wafer candies while brownies are baking in the oven. When the brownies are done, place mint wafer candies side by side onto the top of the hot brownies and let them sit for a minute to soften. Using a knife or spatula, gently swirl melted candy over surface of brownies.  Allow to cool a few hours so the candy hardens.  Cut into bars.
",40,,,,"Brownie,Chocolate",,https://images.media-allrecipes.com/userphotos/250x250/621714.jpg
Aussie Chicken  ,"Rub the chicken breasts with the seasoning salt, cover and refrigerate for 30 minutes.
Preheat oven to 350 degrees F (175 degrees C). Place bacon in a large, deep skillet. Cook over medium high heat until crisp. Set aside.
In a medium bowl, combine the mustard, honey, corn syrup, mayonnaise and dried onion flakes. Remove half of sauce, cover and refrigerate to serve later.
Heat oil in a large skillet over medium heat. Place the breasts in the skillet and saute for 3 to 5 minutes per side, or until browned. Remove from skillet and place the breasts into a 9x13 inch baking dish. Apply the honey mustard sauce to each breast, then layer each breast with mushrooms and bacon. Sprinkle top with shredded cheese.
Bake in preheated oven for 15 minutes, or until cheese is melted and chicken juices run clear. Garnish with parsley and serve with the reserved honey mustard sauce.
",80,,,,"Chicken,Salt,Bacon,Mustard,Honey,Corn Syrup,Mayonnaise,Onion,Vegetable Oil,Mushroom,Monterey Jack,Parsley",,https://images.media-allrecipes.com/userphotos/250x250/708833.jpg
Layered Eggplant Hamburger Casserole  ,"Preheat oven to 350 degrees F (175 degrees C).
In a large skillet over medium heat, saute the ground beef, onion and garlic for 5 to 10 minutes. Drain excess fat. Stir in the tomato paste, water, tomatoes, parsley, thyme, oregano and basil. Set aside.
Slice eggplant into 1/4-inch rounds. Place a layer of eggplant into the bottom of a lightly greased 9x12-inch glass baking dish. Then place a layer of the ground beef mixture over the eggplant, followed by a layer of sliced onion. Top this with 1/2 the breadcrumbs and cheese. Then repeat the layers: eggplant, ground beef mixture, sliced onion and remaining breadcrumbs and cheese.
Cover and bake at 350 degrees F (175 degrees C) for 1 hour, remove foil and bake for 20 more minutes.
",100,,,,"Ground Beef,Onion,Garlic,Tomato,Water,Tomato,Parsley,Thyme,Oregano,Basil,Eggplant,Onion,Bread,Parmesan",,https://images.media-allrecipes.com/userphotos/250x250/989836.jpg
Something Different Sweet Rolls  ,"Dissolve yeast in warm water and let stand until creamy, about ten minutes. In a large bowl, combine the cake mix and flour. Slowly add the yeast and water mixture and stir until smooth. Cover the bowl and let dough rise in a warm place until doubled in volume, about 1 hour.
Grease a 10x15 inch baking pan with high sides, or two 9x13 inch pans. With a spatula, scoop the dough out onto a heavily floured surface. Dust the top and roll or pat the dough into a large rectangle, about 12x24 inches. Brush dough with the melted butter or margarine. Combine sugar and cinnamon in a small bowl and sprinkle over the dough. Roll up dough jelly roll fashion and seal edge with a little water. Cut the roll into 1 1/2 to 2 inch slices. Place snugly into the prepared pan. Let rise in a warm place for about 1/2 hour or until doubled.
Preheat oven to 350 degrees F (175 degrees C)
While rolls are rising, combine butter or margarine, corn syrup and brown sugar in a heavy saucepan. Cook over low heat, stirring occasionally, until smooth. Remove from heat.  When rolls have risen, pour the syrup over the tops of the rolls, letting it dribble down into the pan. Sprinkle rolls with pecans and bake at 350 degrees F (175 degree C) for 25 minutes or until golden brown.
",150,,,,"Yeast,Water,Cake,Flour,Margarine,White Sugar,Cinnamon,Margarine,Corn Syrup,Brown Sugar",,https://images.media-allrecipes.com/userphotos/250x250/193669.jpg
Herb Roasted Vegetables  ,"Preheat oven to 450 degrees F (230 degrees C).
Combine potatoes, carrots, and onion in an ungreased 13x9 inch baking pan. Combine olive oil, lemon juice, garlic, rosemary, oregano, salt and pepper to taste in a small mixing bowl. Drizzle the mixture over the vegetables.
Bake for 20 minutes.
Remove the baking dish from the oven and add eggplant and bell pepper. Toss to combine the eggplant and bell pepper with the other vegetables. Return the pan to the oven.
Bake for 13 to 15 more minutes or until the vegetables and tender and brown on the edges. Serve hot.
",55,,,,"Potato,Carrot,Onion,Olive,Lemon Juice,Garlic,Rosemary,Oregano,Pepper,Eggplant,Bell Pepper",,https://images.media-allrecipes.com/userphotos/560x315/1450.jpg
USMC SOS  ,"Brown the ground beef in a medium skillet over medium-high heat, until meat is no longer pink. Drain excess fat and set aside.
Melt the butter or margarine in a medium saucepan over medium heat. Slowly add the flour, stirring constantly, to form a brown roux.
Pour in beef broth and milk, mixing well. Add ground beef, then season with salt and pepper to taste.
",30,,,,"Ground Beef,Butter,Flour,Beef,Milk,Pepper",,https://images.media-allrecipes.com/userphotos/250x250/66598.jpg
Seafood Au Gratin  ,"Preheat oven to 400 degrees F (200 degrees C). Lightly butter 8 small baking dishes.
In a large skillet, heat olive oil over medium high heat. Saute shrimp and scallops until firm, about 5 minutes.
In a medium saucepan, melt butter over medium heat. Stir in flour until smooth. Gradually add chicken broth and raise heat to high. Stir until thickened. Mix in shallots, mushrooms and wine. Cook for 5 to 10 minutes.
Arrange shrimp, scallops and crab in the bottom of prepared dishes. Pour sauce over seafood and cover with cheese.
Bake in preheated oven until golden, about 12 t o15 minutes. Sprinkle with parsley and serve.
",50,,,,"Olive,Shrimp,Scallop,Butter,Flour,Chicken Broth,Shallot,Mushroom,White Wine,Crab,Cheese,Parmesan,Parsley",,https://images.media-allrecipes.com/userphotos/560x315/5942577.jpg
Italian Sausage Soup  ,"In a stockpot or Dutch oven, brown sausage with garlic.  Stir in  broth, tomatoes and carrots, and season with salt and pepper. Reduce heat, cover, and simmer 15 minutes.
Stir in beans with liquid and zucchini. Cover, and simmer another 15 minutes, or until zucchini is tender.
Remove from heat, and add spinach.  Replace lid allowing the heat from the soup to cook the spinach leaves.  Soup is ready to serve after 5 minutes.
",50,,,,"Sausage,Garlic,Beef,Tomato,Carrot,Bean,Zucchini,Spinach,Black Pepper,Salt",,https://images.media-allrecipes.com/userphotos/560x315/521051.jpg
Hot Artichoke Dip  ,"Preheat oven to 325 degrees F (165 degrees C). Lightly grease a medium baking dish.
Blend together the cheese, mayonnaise and whipping cream. Stir in the artichokes, green onions and pimentos. Mix well, and transfer to the prepared baking dish.
Bake 25 minutes in the preheated oven, until lightly browned.
",35,,,,"Parmesan,Mayonnaise,Whipping Cream,Artichoke,Green Onion,Pimento",,https://images.media-allrecipes.com/userphotos/250x250/25826.jpg
Dill Dip I  ,"In a mixing bowl, combine sour cream, mayonnaise, celery salt, onion flakes, garlic salt, dill weed, monosodium glutamate and parsley flakes. Serve immediately, or chill overnight to enjoy the full flavor of the herbs.
",10,,,,"Sour Cream,Mayonnaise,Celery,Onion,Garlic,Dill,Sodium,Parsley",,https://images.media-allrecipes.com/userphotos/560x315/592528.jpg
Cheesy Vegetable Chowder   ,"In a large pot over medium heat, combine water, bouillon, potatoes and garlic.  Bring to a boil, then stir in onion, celery and carrots.  Reduce heat and simmer 15 minutes.
Stir in corn, peas and green beans and continue to cook on low heat.
Meanwhile, in a medium saucepan over medium heat, melt butter.  Whisk in flour all at once to form a roux and let cook 10 seconds.  Whisk in milk, a little at a time, and cook, stirring, until mixture is thick and bubbly.  Stir in cheese until melted.  Pour this mixture into the large soup pot, stir well and heat through.
",45,,,,"Water,Chicken,Potato,Garlic,Onion,Celery,Carrot,Corn,Pea,Green Bean,Butter,Flour,Milk,Cheese",,https://images.media-allrecipes.com/userphotos/560x315/3061860.jpg
Apple,"Preheat oven to 375  degrees F (190 degrees C).  Butter a shallow, 1-quart baking dish.
In a medium bowl, combine melted butter and brioche.  Line the bottom of the baking dish with one-third of the mixture.
In another bowl, combine rhubarb, apple, brown sugar, cinnamon, nutmeg, lemon juice and zest.  Let rest until juices begin to run, 5 minutes.  Then spread half of the mixture over the brioche in the dish.  Top with half the remaining brioche.  Spread the remaining rhubarb over that and top with the last of the brioche.  Dot with 1 tablespoon butter.  Spoon the warm water evenly over the top.
Cover and bake in preheated oven 25 to 35 minutes, until rhubarb is tender.  Increase oven temperature to 400 degrees F (200 degrees C), uncover dish, and bake until top is crusty, rhubarb is soft, and bubbles form at the edges of the dish, 10 to 15 minutes.  Serve warm.
",55,,,,"Butter,Pie,Rhubarb,Apple,Brown Sugar,Cinnamon,Nutmeg,Lemon,Butter,Water",,https://images.media-allrecipes.com/userphotos/560x315/962939.jpg
Clam Chowder III  ,"In a blender, combine onion, garlic and enough water to make a smooth paste.  Set aside.
In a large pot, combine potatoes, celery, salt, pepper, onion mixture and juice from clams.  Augment with enough water to cover.  Bring to a boil, then reduce heat and simmer until potatoes are soft, 20 minutes.
Stir in half-and-half and sugar.  Combine melted butter and flour, then whisk into soup.  Cook and stir until thickened.  Stir in clams and adjust seasonings.
",45,,,,"Onion,Garlic,Potato,Celery,Salt,Black Pepper,Clam,Cream,White Sugar,Butter,Flour",,https://images.media-allrecipes.com/userphotos/560x315/1115967.jpg
